Index,Tipo de Ordenação,Quantidade de posições de vetor,Tempo de execução(seg)
1 , Bubble Sort , 2000 , 0.0290110 
2 , Bubble Sort , 10000 , 0.4121900 
3 , Bubble Sort Inteligente , 2000 , 0.0093240 
4 , Bubble Sort Inteligente , 10000 , 0.2343630 
5 , Selection Sort , 2000 , 0.0075800 
6 , Selection Sort , 10000 , 0.1775970 
7 , Insertion Sort , 2000 , 0.0036140 
8 , Insertion Sort , 10000 , 0.0912700 
9 , Merge Sort , 2000 , 0.0007460 
10 , Merge Sort , 10000 , 0.0036900 
11 , Quick Sort , 2000 , 0.0003600 
12 , Quick Sort , 10000 , 0.0034830 
